Filename,Total_TXOP,TXOP_retries,Total_MSDU,Total_MPDU,Total_retry,Total_retry_rate,TXOP_retry_rate,Avg_Backoff,Avg_TXOP,MSDU_per_TXOP,AMPDU_per_TXOP,Most_MSDU_per_TXOP,Most_AMPDU_per_TXOP,House_num,House_type,Location,Distance,Protocol,Traffic,Device,Datarate_avg(Mbps),#DR_R0,#DR_R1,DR_std,Total_data(bytes),R0_Max_MCS,R1_Max_MCS,#frames,sgi,lgi,Throughput_sniffer(Mbps),RSSI_avg(dBm),RSSI_min(dBm),RSSI_max(dBm),RSSI_std,#walls,Captured_datagram,Missed_datagram,#retry0,#retry1,#u_retry1,Transfer(Mbytes),Bitrate(Mbits/sec),Jitter,Total_datagrams,Lost_datagrams,Throughput(iperf),Retry_perc(iperf),Missed_perc(iperf),Ref_RSSI_avg(dBm),Ref_RSSI_min(dBm),Ref_RSSI_std,Ref_RSSI_max(dBm),Ref_#RSSI,#beacons_others,#Int_Devices,Mgnt_overheads,Ctrl Overheads,data0,data1,Unrelated,Other_BSS,Idle,Total_time,Missing_MSDU
mac_5ghz_clean_esb301b_l1_udp_dl_redmi_100M,3610,5,115851,29010,12,0.0103581324287231,0.138504155124654,80.6124653739612,5206.07509005265,32.0916897506925,8.03601108033241,48,12,esb301b,Empty,l1,1745.800103,udp,dl,redmi,86.6667,1,1,0,269150592,8,8,176608,176608,0,71.7734912,-47,-47,-47,0,0,176608,91265,176584,24,24,236,66,0.279ms,267845,91154,62.9333333333333,0.0135811900517782,34.0596963680604,-56.0373779347494,-56,0.199965226462399,-57,2,873,3,187212,2032114,17037664,1864,340,3888,737037,20000119,76
mac_5ghz_clean_esb301b_l2_udp_dl_redmi_100M,2936,272,74876,24961,768,1.02569581708425,9.26430517711172,78.9237057220709,5953.10592643052,25.5027247956403,8.5017029972752,3,1,esb301b,Empty,l2,1627.19206,udp,dl,redmi,59.2676887100254,4,4,3.190648800172,187092336,6,6,122764,7167,115597,49.8912896,-59.2,-59,-60,0.406838102172486,0,122764,146265,121580,1184,1066,162,45.4,0.417ms,267848,146190,43.2,0.963839729082887,54.5921776032666,-63,-63,0,-63,1,0,0,180768,1909901,17020405,167633,196,49659,671670,20000232,2786
mac_5ghz_clean_h10b_l1_udp_dl_redmi_100M,3601,1,115294,28828,1,0.0008673478238243,0.0277700638711469,82.6945292974174,5197.96612052208,32.0172174396001,8.00555401277423,48,12,h10b,Empty,l1,497.314789645351,udp,dl,redmi,86.6666507750067,2,1,0.0206547391574097,268341125,8,8,176077,176076,1,71.5576333333333,-51,-51,-51,0,1,176076,91780,176069,7,7,236,66,0.224ms,267818,91001,62.9333333333333,0.0039587386327647,34.1701508207463,-52,-52,0,-52,1,0,0,182544,2019321,16987671,175,88,352,809902,20000053,496
mac_5ghz_clean_h10b_l2_udp_dl_redmi_100M,4078,631,78961,28161,1841,2.33153075568952,15.4732712113781,71.0740559097597,4174.9722903384,19.3626777832271,6.90559097596861,3,1,h10b,Empty,l2,490.805460442322,udp,dl,redmi,62.9861017994912,4,8,20.0313394007873,154348973,7,7,101279,82938,18341,41.1597261333333,-67.2,-67,-68,0.406838102172486,2,101278,168732,99104,2174,2028,133,37.2,0.991ms,267834,168301,35.4666666666667,2.13751265891237,62.897508061059,-69.2573358369795,-68,0.455574693390036,-70,3,0,0,179278,2223042,16412058,387674,364,0,797968,20000384,4492
mac_5ghz_clean_h10b_l3_udp_dl_redmi_100M,4301,922,84760,28216,2341,2.76191599811232,21.436875145315,68.927226226459,4138.45547547082,19.7070448732853,6.5603348058591,3,1,h10b,Empty,l3,407.443247581795,udp,dl,redmi,64.5247188084495,4,4,6.82352089039061,200271888,6,7,131412,58509,72903,53.4058368,-64,-64,-64,0,2,131412,139585,128250,3162,3045,172,48,0.383ms,267851,139386,45.8666666666667,2.40224270096561,52.0742398806193,-64.0061138851006,-64,0.0824770642555624,-65,2,0,0,181164,2070772,16511606,481143,0,0,755438,20000123,4278
mac_5ghz_clean_h10b_l4_udp_dl_redmi_100M,2643,346,35393,23837,646,1.82521967620716,13.0911842603103,75.099886492622,6621.13853141559,13.3912220961029,9.01891789632993,12,12,h10b,Empty,l4,497.824266182355,udp,dl,redmi,42.9053805774278,4,5,7.85748867834976,121459203,4,5,51034,0,51034,32.3891208,-71,-71,-71,0,3,80772,188108,79673,1099,991,107,29.8,0.460ms,267834,188020,28.5333333333333,1.35824898347608,70.2099864886049,-74.0098538274122,-74,0.104464781922459,-75,2,1,1,183552,1710447,15634494,231429,3612,0,2236997,20000531,1810
mac_5ghz_clean_h10b_l5_udp_dl_redmi_100M,9271,7078,9271,9271,7078,76.345593787078,76.345593787078,150.956423255312,1840.93517419912,1,1,1,1,h10b,Empty,l5,295.656895742345,udp,dl,redmi,6.53398692810458,2,2,0.468938854514205,26642568,0,0,17482,0,17482,7.1046848,-81.2,-79,-91,4.47521912389735,3,17482,263183,4510,12972,2987,6.03,1.69,5.440ms,267739,263221,1.608,74.1680960548885,98.3122961811872,-82.6779392594821,-81,0.614869411515775,-84,4,0,0,181908,627381,4045506,13199963,0,0,1945325,20000083,5
mac_5ghz_clean_h11b_l1_udp_dl_redmi_100M,3556,4,104600,26157,13,0.0124282982791587,0.112485939257593,72.4350393700787,4764.89004499438,29.4150731158605,7.35573678290214,48,12,h11b,Empty,l1,155.621335298217,udp,dl,redmi,86.6667,1,1,0,271095216,8,8,177884,177884,0,72.2920576,-53.2,-53,-54,0.406838102172486,1,177884,89997,177845,39,39,238,66.4,0.256ms,267816,89870,63.4666666666667,0.0219119588729387,33.5881138898945,-60.1592912045289,-60,0.380315059198961,-61,2,16,1,181908,2043044,17158717,2715,312,856,612530,20000082,84
mac_5ghz_clean_h11b_l3_udp_dl_redmi_100M,3483,193,105240,26310,551,0.523565184340555,5.54120011484353,73.2377260981912,4895.69623887453,30.2153316106804,7.55383290267011,48,12,h11b,Empty,l3,55.0272659687904,udp,dl,redmi,86.6667,1,2,1.42108951869204E-14,270738563,8,8,177651,177644,7,72.1969501333333,-58.3,-58,-59,0.466091599699399,2,177644,91238,176603,1041,1041,236,66,0.457ms,267812,91111,62.9333333333333,0.585680368174095,34.0517804425634,-63,-63,0,-63,1,0,0,181536,2045526,17032252,98976,681,15719,625350,20000040,80
mac_5ghz_clean_h8b_l3_udp_dl_redmi_100M,3598,2,115264,28820,5,0.0043378678511937,0.0555864369093941,82.807948860478,5204.3093385214,32.035575319622,8.01000555864369,48,12,h8b,Empty,l3,345.175317773447,udp,dl,redmi,86.6667,1,1,0,268394688,8,8,176112,176112,0,71.5719168,-49.6666666666667,-49,-50,0.479463301485384,1,176112,91732,176108,4,4,236,66,0.323ms,267849,91017,62.9333333333333,0.0022619828541699,34.1564766685036,-44,-44,0,-44,1,0,0,181536,2019733,16977236,633,488,0,820396,20000022,572
mac_5ghz_clean_h8b_l4_udp_dl_redmi_100M,3748,654,89232,28183,2920,3.27236865698404,17.4493062966916,71.8100320170758,4545.03041622199,23.8078975453575,7.51947705442903,36,12,h8b,Empty,l4,205.854317418897,udp,dl,redmi,73.8715883981213,3,3,4.35332909335003,228461316,7,8,149909,140957,8952,60.9230176,-60,-60,-60,0,1,149909,122277,145564,4345,3772,194,54.4,0.249ms,267828,122166,51.7333333333333,2.89653149519689,45.6361335975726,-60.035580941882,-60,0.19532032420192,-61,2,0,0,181908,2171945,16400561,566005,0,0,679710,20000129,74
mac_5ghz_clean_h8b_l5_udp_dl_redmi_100M,3655,822,80953,26995,2253,2.78309636455721,22.4897400820793,70.6790697674419,4800.16990424077,22.1485636114911,7.38577291381669,3,1,h8b,Empty,l5,143.66976021418,udp,dl,redmi,62.8104830802462,4,4,6.38791223203938,196294248,6,7,128802,41832,86970,52.3451328,-67,-67,-67,0,3,128802,141916,125915,2887,2774,168,47,0.402ms,267847,141844,44.8,2.23989448366824,52.969740854512,-68.0096856422901,-67,0.188097931162054,-69,3,0,0,180420,2065262,16622835,456105,0,0,675453,20000075,59
